amenity,name,x,y
school,Colegio Primario Comfandi Calipso,-76.500,3.426
school,,-76.523,3.427
school,ITI,-76.524,3.404
school,Colegio Carlos Castro Saavedra,-76.525,3.404
school,Juan Pablo II,-76.556,3.386
school,Marco Fidel Suarez,-76.498,3.453
school,Instituto Camilo Terreros,-76.498,3.489
school,Escuela Fray Domingo de las Casas,-76.502,3.485
school,Colegio Mixto San Vicente,-76.501,3.484
school,Colegio Miguel Angel Buonarroti,-76.502,3.486
school,COLEGIO NUESTRA SE?ORA DE FATIMA,-76.503,3.484
school,Liceo Farallones del Norte,-76.498,3.490
school,escuela manuel rebolledo,-76.510,3.440
school,Liceo San Antonio,-76.511,3.438
school,Guillermo Valencia,-76.511,3.474
school,La Merced,-76.503,3.462
school,,-76.488,3.458
school,,-76.482,3.448
school,Vicente Borrero Costa,-76.480,3.454
school,Siete de Agosto,-76.487,3.448
school,Juan de Ampudia,-76.495,3.448
school,Las Am?ricas,-76.507,3.447
school,Alberto Carvajal Borrero,-76.495,3.445
school,Evaristo Garcia,-76.514,3.443
school,Santa Fe,-76.508,3.442
school,Alfredo Vasquez Cobo,-76.526,3.437
school,Jose Maria Carbonell,-76.530,3.424
school,Joaquin de Caicedo y Cuero,-76.525,3.422
school,,-76.536,3.414
school,Jose Mar?a Vivas Balarcazar,-76.530,3.409
school,Agustin Nieto Caballero,-76.520,3.420
school,Villa del Sur,-76.515,3.415
school,Ciudad de Cali,-76.514,3.432
school,Eva Riascos Plata,-76.512,3.433
school,Marice Sinisterra,-76.504,3.436
school,I.E.T.I. 10 de Mayo,-76.518,3.432
school,,-76.514,3.435
school,,-76.501,3.471
school,,-76.504,3.471
school,Institucio?n Educativa T?cnica de Comercio Sim?n Rodr?gues,-76.504,3.471
school,,-76.509,3.480
school,,-76.504,3.465
school,,-76.588,3.465
school,,-76.494,3.421
school,Colegio Santa Isabel de Hungr?a - San Felipe;Colegio Santa Isabel de Hungr?a sede San Felipe;Colegio SIH San Felipe;Colegio Santa Isabel de Hungr?a sede Invicali Desepaz,-76.464,3.428
school,Colegio Santa Isabel de Hungr?a - Alfonso L?pez,-76.480,3.459
school,Institucion  CENAL,-76.525,3.472
school,Colegio SIH Alfonso L?pez,-76.480,3.459
school,Colegio Boyacﬂ sede La Independencia,-76.519,3.418
school,Centro Colombiano de Dibuj?,-76.531,3.471
school,Colegio Mayor Santiago de Cali - Troncal,-76.510,3.452
school,Colegio SIH sede Alfonso L?pez,-76.480,3.459
school,Colegio SIH Calimio Desepaz,-76.468,3.414
school,Colegio Santa Isabel de Hungr?a - Escuela Taller,-76.480,3.456
school,Colegio Compartir,-76.470,3.431
school,Escuela Interamericana de Bomberos,-76.555,3.460
school,Salsa Pura,-76.538,3.447
school,Colegio Se±or de los Milagros,-76.498,3.410
school,"Escuela de Baile ""Swing Latino""",-76.538,3.429
school,Colegio El Principito Los Andes,-76.496,3.470
school,Colegio El Principito Los Andes,-76.496,3.470
school,Colegio Alvaro Echeverry Perea,-76.545,3.378
school,Alvaro Echeverry Perea Sede 2,-76.546,3.377
school,Colegio Anglo Hispano,-76.540,3.333
school,Sabor manicero,-76.547,3.423
school,Instituci?n Educativa El Diamante,-76.502,3.420
school,Mar?a Goretti,-76.505,3.432
school,Escuela de Auxiliares Cl?nica Blanca,-76.514,3.436
school,Colegio Valores Ilama,-76.526,3.331
school,Escuela de salsa SonDeLuz,-76.538,3.432
school,Dojo nintai,-76.527,3.472
school,Manuelita Saenz,-76.489,3.477
school,Sede tecnol?gico universidad aut?noma de Occidente,-76.543,3.437
school,Centro infantil,-76.558,3.372
school,minutos de dios,-76.559,3.378
school,Softer World,-76.544,3.449
school,Colegio Hernando Caicedo,-76.516,3.407
school,JC Driving School,-76.521,3.473
school,JC Driving School,-76.539,3.435
