amenity,name,x,y
place_of_worship,Capilla Calipso,-76.499,3.425
place_of_worship,Igelsia de San Francisco,-76.533,3.450
place_of_worship,Iglesia de San Nicolas,-76.525,3.455
place_of_worship,Maria madre del salvador,-76.550,3.388
place_of_worship,,-76.547,3.392
place_of_worship,,-76.527,3.405
place_of_worship,,-76.542,3.433
place_of_worship,Iglesia Santa Maria Reina,-76.546,3.375
place_of_worship,El Redil,-76.610,3.567
place_of_worship,iglesia,-76.511,3.436
place_of_worship,Parroquia Nuestra Se±ora de los Dolores,-76.480,3.572
place_of_worship,Capilla Se±or de la Buena Esperanza,-76.485,3.564
place_of_worship,Iglesia Adventista del Septimo Dia,-76.491,3.578
place_of_worship,Funerales Remansos de Paz,-76.496,3.583
place_of_worship,Funeraria la Piedad,-76.492,3.582
place_of_worship,Iglesia Vino Nuevo,-76.517,3.429
place_of_worship,Iglesia Pentecostal Unida - El Jardin,-76.518,3.426
place_of_worship,Iglesia de los Santos de los Ultimos Dias,-76.527,3.428
place_of_worship,Iglesia del Esp?ritu Santo,-76.518,3.431
place_of_worship,Iglesia san Ignacio de Loyola,-76.570,3.453
place_of_worship,Nuestra Se±ora de los Andes,-76.501,3.471
place_of_worship,,-76.505,3.471
place_of_worship,,-76.498,3.484
place_of_worship,MISION PAZ A LAS NACIONES,-76.526,3.487
place_of_worship,Iglecia pentecostal unida de Colombia IPU,-76.533,3.252
place_of_worship,,-76.481,3.574
place_of_worship,Iglesia Cristiana Le?n de Judﬂ,-76.479,3.573
place_of_worship,Sal?n del reino de los Testigos de Jehovﬂ,-76.491,3.582
place_of_worship,Iglesia Pentecostal Unida de Colombia,-76.492,3.564
place_of_worship,Parroquia San Alfonso maria de Ligorio,-76.480,3.465
place_of_worship,Iglesia Nuestra Se±ora del Portal,-76.535,3.253
place_of_worship,Iglesia Portal del Jordan,-76.544,3.255
place_of_worship,Parroquia Nuestra Se±ora del Rosario,-76.541,3.261
place_of_worship,Iglesia,-76.552,3.255
place_of_worship,Parroquia San Jos? Obrero,-76.492,3.579
place_of_worship,Parroquia la Encarnaci?n del Se±or,-76.504,3.492
place_of_worship,Sal?n de Asambleas de los Testigos de Jehovﬂ,-76.399,3.536
place_of_worship,Iglesia Adventista Emmanuel,-76.500,3.447
place_of_worship,Iglesia Adventista Betel,-76.484,3.453
place_of_worship,Iglesia Adventista Getsemani,-76.573,3.453
place_of_worship,Iglesia Adventista del S?ptimo D?a Para?so,-76.501,3.432
place_of_worship,,-76.413,3.385
place_of_worship,,-76.497,3.412
place_of_worship,,-76.499,3.413
place_of_worship,,-76.500,3.411
place_of_worship,Parroquia Nuestra Se±ora de la Salud,-76.541,3.380
place_of_worship,Capilla Nuestra Se±ora del Sagrado Coraz?n,-76.550,3.256
place_of_worship,Iglesia Adventista del S?ptimo dia,-76.491,3.492
place_of_worship,Mezquita An Noor Cali,-76.539,3.437
place_of_worship,Mezquita An Noor Cali,-76.540,3.436
place_of_worship,Parroquia Maria Auxiliadora,-76.515,3.463
place_of_worship,Parroquia Santa Maria del Valle,-76.502,3.485
place_of_worship,Parroquia San francisco de Asis,-76.556,3.558
place_of_worship,Capilla vereda Chicoral,-76.581,3.575
place_of_worship,Iglesia San Francisco de Sales,-76.503,3.419
place_of_worship,Templo Adventista del 7 Dia la Esperanza,-76.520,3.418
place_of_worship,,-76.519,3.416
place_of_worship,,-76.513,3.417
place_of_worship,Iglesia Cristiana Cuadrangular,-76.503,3.466
place_of_worship,Centro misionero Bethesda,-76.517,3.411
place_of_worship,Iglesia Pentecostal del Nombre de Jes∑s,-76.502,3.428
place_of_worship,,-76.540,3.383
place_of_worship,Ministerio luz de las naciones,-76.507,3.421
place_of_worship,Iglesia pentecostal unida de colombia,-76.467,3.456
place_of_worship,Comunidad Parroquial Cristo Rey-Nuestra Se±ora De Los Dolores,-76.467,3.456
place_of_worship,Iglesia Cristiana El Pe±on,-76.538,3.448
place_of_worship,Parroquia la Virgen Peregrina,-76.533,3.383
place_of_worship,,-76.542,3.436
place_of_worship,Testigos de Jehovﬂ,-76.492,3.472
place_of_worship,,-76.497,3.491
place_of_worship,Salon del Reino-Los Gemelos,-76.493,3.486
place_of_worship,Nuestra Se±ora del Perpetuo Socorro,-76.532,3.431
place_of_worship,"Capilla virgen del Carmen ""La Parada""",-76.558,3.219
